Id,Label,timeset,transferencia
0,sbc_alfa1_entrada_sul,,
1,sbc_delta_entrada_leste,,
2,sbc_beta_entrada_oeste,,
3,sbc_ru_entrada norte,,
4,sbc_delta_entrada_sul,,
5,sbc_elbranco_entrada_norte,,
6,sbc_alfa2_entrada_norte,,
7,sbc_omega_entrada_sul,,
8,sbc_omega_entrada_norte,,
9,sbc_areiao_entrada_sul,,
10,sbc_areiao_entrada_norte,,
11,sbc_fretado,,
12,sbc_tranferencia_1,,true
13,sbc_transferencia_2,,true
14,sbc_transferencia_3,,true
15,sbc_transferencia_4,,true
16,sbc_transferencia_5,,true
17,sbc_transferencia_6,,true
18,sbc_transferencia_7,,true
19,sbc_transferencia_8,,true
20,sbc_alfa1_entrada_norte,,
21,sbc_transferencia_9,,true
22,sbc_transferencia_10,,true
23,sbc_transferencia_11,,true
24,sbc_transferencia_12,,true
25,sbc_transferencia_13,,true
26,sbc_transferencia_14,,true
27,sbc_alfa2_entrada_sul,,
